MSOA21CD,Medianage
E02001446,46
E02001447,50
E02001448,49
E02001449,49
E02001450,51
E02001451,41
E02001452,41
E02001453,45
E02001454,46
E02001455,45
E02001456,47
E02001457,38
E02001458,40
E02001459,41
E02001460,44
E02001461,42
E02001462,36
E02001463,38
E02001464,37
E02001465,39
E02001466,38
E02001467,49
E02001468,44
E02001469,49
E02001470,45
E02001471,39
E02001472,41
E02001473,41
E02001474,34
E02001475,38
E02001476,35
E02001477,34
E02001478,45
E02001479,48
E02001480,50
E02001481,46
E02001482,38
E02001483,49
E02001484,46
E02001485,37
E02001486,51
E02001487,34
E02001488,40
E02001489,52
E02001490,46
E02001491,39
E02001492,49
E02001493,35
E02001494,52
E02001495,41
E02001496,47
E02001497,38
E02001498,44
E02001499,51
E02001500,49
E02001501,45
E02001502,41
E02001503,51
E02001504,53
E02001505,43
E02001506,55
E02001507,50
E02001508,43
E02002653,35
E02002654,30
E02002655,35
E02002656,53
E02002657,44
E02002658,47
E02002659,34
E02002660,39
E02002661,38
E02002662,43
E02002663,22
E02002664,45
E02002665,42
E02002666,30
E02002667,40
E02002668,36
E02002669,35
E02002670,41
E02002671,37
E02002672,31
E02002673,39
E02002674,40
E02002675,35
E02002676,37
E02002677,39
E02002678,36
E02002679,43
E02002680,35
E02002681,34
E02002682,34
E02006813,43
E02007079,32
E02007080,32
E02002684,59
E02002685,57
E02002686,45
E02002687,51
E02002688,49
E02002689,54
E02002691,51
E02002692,48
E02002693,53
E02002694,47
E02002695,55
E02002696,48
E02002697,52
E02002698,45
E02002699,49
E02002700,41
E02002701,50
E02002702,51
E02002703,49
E02002704,54
E02002705,50
E02002706,48
E02002707,51
E02002708,54
E02002709,46
E02002710,49
E02002711,52
E02002712,52
E02002714,52
E02002715,43
E02002716,48
E02002717,41
E02002718,50
E02002719,46
E02002720,48
E02002721,49
E02002722,51
E02002723,42
E02002724,36
E02002725,48
E02006814,44
E02006891,50
E02006892,48
E02002726,44
E02002727,36
E02002728,36
E02002729,46
E02002730,33
E02002731,32
E02002732,47
E02002733,43
E02002734,40
E02002736,33
E02002737,44
E02002738,43
E02002739,44
E02002740,40
E02002741,41
E02002743,55
E02002744,34
E02002745,55
E02002746,43
E02002747,48
E02002748,53
E02007081,46
E02002749,45
E02002750,49
E02002751,47
E02002752,48
E02002753,52
E02002754,47
E02002755,37
E02002756,34
